Date (month/day/year),Time,1,2,3,4,5,6,7,8,9,10,11
07/01/2012,00:00:00,0.586700242,45.80517341,1.38198367,0.190082838,1.892433886,1.210490661,0.192630026,0.013211702,1.490394613,0.994407637,0.526979233
07/01/2012,00:30:00,7.376892747,42.17747361,1.289851426,0.209479046,0.773636494,0.99351592,0.256840035,0.027524379,0.042400985,0.913133936,0.535086606
07/01/2012,01:00:00,6.78156456,40.516599,1.289851426,0.190082838,0.75280782,1.119132875,0.186455987,0.024221453,0.076321773,0.841421847,0.543193978
07/01/2012,01:30:00,5.211278619,59.39812087,1.259140677,0.203660184,0.535594496,0.730862286,0.113602323,0.012110727,0.019080443,0.951380384,0.421583386
07/01/2012,02:00:00,4.693601935,2.622433592,1.289851426,0.14547156,0.654615495,1.016355366,0.187690795,0.025322428,0.095402216,0.784052176,0.46212025
07/01/2012,02:30:00,5.150883006,2.578726366,1.320562174,0.197841321,0.508814771,0.765121456,0.102489053,0.026423404,0.209884874,0.90835313,0.535086606
07/01/2012,03:00:00,5.280302177,2.447604686,1.397339044,0.139652697,0.71710152,1.176231491,0.182751564,0.013211702,0.065721526,0.850983459,0.510764487
07/01/2012,03:30:00,10.74179119,2.928384178,1.274496051,0.14547156,0.490961621,0.856479241,0.097549821,0.013211702,0.133563102,0.884449101,0.372939149
07/01/2012,04:00:00,5.737583248,2.840969725,1.397339044,0.178445113,0.592129471,1.02777509,0.180281948,0.041837056,0.038160886,0.922695548,0.526979233
07/01/2012,04:30:00,0.6557238,5.288574411,1.428049793,0.129954593,0.627835771,0.685183393,0.106193476,0.012110727,0.044521034,0.831860235,0.526979233
07/01/2012,05:00:00,1.207912263,2.753555272,1.474115915,0.14741118,0.422524547,0.982096197,0.169168677,0.013211702,0.076321773,0.917914742,0.348617031
07/01/2012,05:30:00,5.66855969,3.802528709,1.458760541,0.160988526,0.726028095,0.536726991,0.113602323,0.03633218,0.016960394,0.90835313,1.832266256
07/01/2012,06:00:00,2.907617375,2.928384178,1.458760541,0.14547156,0.476083997,1.084873706,0.160525022,0.017615602,0.101762363,1.214324711,0.535086606
07/01/2012,06:30:00,0.414141347,2.27277578,1.274496051,0.172626251,0.529643446,0.570986161,0.12101117,0.012110727,0.025440591,1.10914698,0.470227623
07/01/2012,07:00:00,0.871422418,2.185361327,1.412694418,0.14547156,0.660566545,1.233330107,0.155585791,0.013211702,0.019080443,0.941818772,0.413476013
07/01/2012,07:30:00,0.431397237,2.491311913,1.489471289,0.114437627,0.859926719,0.99351592,0.130889633,0.048442907,0.091162117,0.999188443,0.526979233
07/01/2012,08:00:00,1.889519897,3.146920311,1.397339044,0.343312881,3.177860677,2.62653634,0.130889633,0.012110727,0.019080443,1.070900533,0.608052961
07/01/2012,08:30:00,2.881733541,2.491311913,1.3052068,0.306460086,2.927916579,1.587341527,0.133359249,0.013211702,0.048761132,0.975284414,1.686333545
07/01/2012,09:00:00,1.414982936,1.835703515,1.151653058,0.356890226,2.841626355,1.416045679,0.87794839,0.717835797,0.061481428,0.951380384,0.851274145
07/01/2012,09:30:00,3.22685133,2.535019139,5.159405702,0.298701603,2.294129759,5.195974064,3.259892755,0.047341931,0.019080443,1.061338921,0.932347873
07/01/2012,10:00:00,1.734216891,2.928384178,2.902165707,0.126075352,1.710926863,4.704925965,2.375770326,0.063856559,0.072081674,2.801552286,1.005314229
07/01/2012,10:30:00,0.664351744,2.578726366,2.76396734,0.172626251,0.806367269,4.213877867,2.26957685,1.06684492,0.038160886,1.429460979,0.745878299
07/01/2012,11:00:00,3.278618999,1.748289062,2.76396734,0.325856294,0.776612019,4.624987903,1.559562329,0.013211702,0.019080443,1.152174234,0.867488891
07/01/2012,11:30:00,0.440025181,2.578726366,3.009653326,0.248271462,0.839098044,3.037646376,0.743354333,0.012110727,0.091162117,0.721901698,1.767407273
07/01/2012,12:00:00,0.949073921,2.797262499,3.224628564,0.188143217,1.187234467,3.163263331,0.253135612,0.040736081,0.019080443,1.678062888,0.843166772
07/01/2012,12:30:00,0.371001624,2.797262499,3.28605006,0.14547156,0.999776393,2.363882706,2.341195706,0.012110727,0.019080443,8.715409246,0.632375079
07/01/2012,13:00:00,0.940445976,22.46551444,3.009653326,0.188143217,3.576581024,6.143811091,5.664063661,0.013211702,0.091162117,1.123489398,0.875596264
07/01/2012,13:30:00,2.519359862,15.90943046,2.902165707,0.157109284,1.943017811,4.910480983,4.910830866,0.039635105,0.019080443,0.822298623,2.675433028
07/01/2012,14:00:00,0.940445976,4.764087693,4.099884888,0.275426153,0.949192468,3.334559179,1.47806501,0.013211702,0.033920788,0.965722802,0.737770926
07/01/2012,14:30:00,0.362373679,11.10163554,5.727554544,0.289003499,1.252696016,2.044130456,0.735945486,0.012110727,0.074201723,1.061338921,0.891811009
07/01/2012,15:00:00,0.923190086,2.229068554,5.758265292,0.166807388,1.231867341,0.902158134,1.018716486,0.041837056,0.016960394,1.070900533,0.802629908
07/01/2012,15:30:00,0.371001624,1.923117968,5.589356177,0.186203596,1.838874437,1.324687893,0.592707774,0.012110727,0.061481428,0.798394594,0.681019316
07/01/2012,16:00:00,3.528829396,2.840969725,5.205471824,0.149350801,2.142377985,0.742282009,0.508740839,0.012110727,0.540612555,0.812737011,1.378253378
07/01/2012,16:30:00,1.14751665,5.332281638,4.483769241,0.124135731,1.41039884,1.199070938,0.512445263,0.044039006,2.910827601,0.793613788,0.875596264
07/01/2012,17:00:00,0.854166529,2.884676952,4.453058493,0.1959017,2.297105284,3.174683054,0.429713136,0.039635105,3.953891825,0.736244116,0.826952027
07/01/2012,17:30:00,0.750631192,4.764087693,4.453058493,0.118316869,3.778916723,14.73144295,1.240981901,0.321484744,2.834505829,0.774490564,1.605259817
07/01/2012,18:00:00,0.750631192,1.748289062,4.514479989,0.151290422,4.043738446,14.54872738,3.366086231,0.639666562,2.800585041,0.659751221,1.191783803
07/01/2012,18:30:00,3.321758722,3.103213084,20.51477982,0.17068663,2.916014479,14.72002323,2.314029933,1.474205725,2.064927956,0.812737011,1.662011427
07/01/2012,19:00:00,1.820496339,3.015798631,38.43450141,0.118316869,3.582532074,14.24039485,3.129003121,1.219880466,1.223268409,0.812737011,0.932347873
07/01/2012,19:30:00,2.838593817,1.835703515,38.38843528,0.203660184,4.689427366,10.58608342,2.56963516,1.442277446,2.079768301,0.688436057,0.956669992
07/01/2012,20:00:00,3.22685133,3.146920311,5.604711551,0.133833835,3.850329322,0.822220072,1.702800041,1.245202894,2.334174209,9.929733957,1.09449533
07/01/2012,20:30:00,3.856691296,2.928384178,2.902165707,0.12219611,3.154056477,1.336107616,2.106582212,1.43897452,1.840202737,11.22533237,4.840101569
07/01/2012,21:00:00,4.736741659,1.923117968,2.395438362,0.151290422,3.133227803,0.833639795,1.791706207,1.484114501,1.643038158,9.246078706,0.794522536
07/01/2012,21:30:00,1.173400484,2.447604686,1.489471289,0.48878444,3.112399128,1.233330107,1.670695037,1.453287197,1.422553037,4.173643594,0.705341435
07/01/2012,22:00:00,2.484848083,3.015798631,1.320562174,0.354950606,2.868406079,0.730862286,1.916421801,1.367411136,1.734200275,1.046996503,0.867488891
07/01/2012,22:30:00,1.561657997,26.04950702,1.397339044,0.155169664,2.734507455,1.176231491,1.359523456,0.050644857,1.494634711,1.166516652,0.867488891
07/01/2012,23:00:00,5.616792021,47.16009744,1.428049793,0.160988526,2.487538882,0.856479241,1.194059202,0.015413652,1.590036927,1.037434891,0.478334996
07/01/2012,23:30:00,0.776515026,45.32439392,1.428049793,0.114437627,2.788066905,1.838575438,0.298823503,0.039635105,1.437393382,0.93225716,0.753985672
07/02/2012,00:00:00,0.578072297,2.097946874,1.320562174,0.257969566,0.473108472,0.433949482,0.181516756,0.013211702,0.080561871,0.774490564,0.535086606
07/02/2012,00:30:00,2.666034923,45.63034451,1.443405167,0.112498006,0.452279797,0.902158134,0.097549821,0.028625354,1.596397075,0.90835313,0.494549742
07/02/2012,01:00:00,0.707491468,43.35756873,1.397339044,0.180384734,1.166405792,0.502467822,0.166699061,0.024221453,0.742017233,0.984846026,0.429690759
07/02/2012,01:30:00,0.509048739,19.58083749,1.335917548,0.126075352,0.978947718,0.890738411,0.096315013,0.013211702,0.11024256,0.95616119,0.51887186
07/02/2012,02:00:00,0.836910639,3.103213084,1.228429929,0.157109284,0.946216943,0.376850866,0.169168677,0.039635105,0.033920788,0.874887489,0.526979233
07/02/2012,02:30:00,2.502103973,3.015798631,1.428049793,0.153230043,0.928363793,0.856479241,0.100019437,0.013211702,0.097522265,1.023092473,0.356724404
07/02/2012,03:00:00,1.337331434,2.622433592,1.504826663,0.160988526,0.69924837,0.548146714,0.255605227,0.013211702,0.042400985,0.994407637,0.51887186
07/02/2012,03:30:00,6.065445148,2.054239647,1.474115915,0.116377248,0.830171469,0.787960902,0.211152144,0.03413023,0.044521034,0.970503608,0.526979233
07/02/2012,04:00:00,5.936025977,1.966825194,1.520182037,0.192022459,0.648664445,0.662343947,0.211152144,0.020918528,0.067841576,0.879668295,0.429690759
07/02/2012,04:30:00,0.379629568,5.463403317,1.320562174,0.114437627,0.791489644,1.119132875,0.100019437,0.013211702,0.046641083,0.913133936,0.454012877
07/02/2012,05:00:00,3.40803817,3.715114256,1.520182037,0.21917715,0.76470992,0.6395045,0.175342716,0.013211702,0.086922019,0.984846026,0.535086606
07/02/2012,05:30:00,5.521884629,2.185361327,1.504826663,0.149350801,0.609982621,0.548146714,0.095080205,0.040736081,0.019080443,0.860545071,2.026843203
07/02/2012,06:00:00,0.776515026,3.321749217,1.504826663,0.473267474,0.883730919,0.708022839,0.159290214,0.013211702,0.093282166,0.951380384,0.843166772
07/02/2012,06:30:00,0.560816408,2.1416541,1.335917548,0.159048905,0.65759102,0.765121456,0.097549821,0.013211702,1.823242343,0.894010713,1.021528974
07/02/2012,07:00:00,0.672979689,2.010532421,1.397339044,0.157109284,0.654615495,3.368818349,0.171638293,0.027524379,1.772361161,0.927476354,0.956669992
07/02/2012,07:30:00,3.330386667,3.059505858,1.366628296,0.112498006,0.978947718,0.902158134,0.705075289,0.03413023,1.927124756,0.860545071,0.648589825
07/02/2012,08:00:00,1.527146218,2.360190233,1.428049793,0.166807388,3.121325703,3.345978903,0.3926689,0.013211702,1.043064224,1.046996503,0.729663553
07/02/2012,08:30:00,4.236320864,1.354924023,1.38198367,0.166807388,3.023133378,3.996903126,2.759795571,0.079270211,0.180204185,0.98006522,0.762093044
07/02/2012,09:00:00,0.621212021,2.27277578,1.612314282,0.149350801,2.612510931,2.158327688,2.756091147,0.055048757,0.286206647,1.128270204,0.851274145
07/02/2012,09:30:00,2.976640933,2.316483007,1.581603534,0.178445113,3.165958577,2.238265751,1.685512731,0.437087134,0.16748389,1.185639875,0.681019316
07/02/2012,10:00:00,2.942129154,1.617167382,1.397339044,0.168747009,1.303279941,1.016355366,0.812503573,0.271940862,0.074201723,1.778459813,0.786415163
07/02/2012,10:30:00,0.897306252,2.447604686,1.550892785,0.234694116,1.294353366,0.616665054,0.821147228,0.03633218,0.106002462,1.219105517,1.053958466
07/02/2012,11:00:00,5.383837514,2.928384178,3.869554277,0.19396208,1.443129615,1.461724572,0.838434538,0.023120478,0.036040837,0.922695548,0.72155618
07/02/2012,11:30:00,3.701388291,2.185361327,1.965487886,0.213358288,1.44015409,0.628084777,0.740884717,0.176156024,0.106002462,0.95616119,1.605259817
07/02/2012,12:00:00,8.334594613,1.748289062,2.180463124,0.153230043,1.773412887,1.153392045,0.284005808,0.085876062,0.163243791,0.965722802,0.770200417
07/02/2012,12:30:00,2.355428912,2.972091405,2.42614911,0.1959017,1.577028239,1.518823188,0.285240616,0.013211702,0.08268192,0.922695548,0.77830779
07/02/2012,13:00:00,2.683290812,2.928384178,3.163207067,0.151290422,1.261622591,2.089809349,0.282771,0.013211702,0.330727681,1.013530861,0.8350594
07/02/2012,13:30:00,1.104376926,1.966825194,3.915620399,0.180384734,0.636762345,1.804316268,0.308701965,0.035231205,0.057241329,0.90835313,2.140346422
07/02/2012,14:00:00,0.517676684,1.966825194,2.364727613,0.261848807,2.12154931,1.587341527,0.276596961,0.020918528,0.067841576,0.836641041,1.321501768
